     TIME           U            X
   0.00000000     -0.635333121      0.489999980    
   0.00000000     -0.499999821      0.500000000    
   0.00000000     -0.364666551      0.509999990    
   0.00000000     -0.231310323      0.519999981    
   0.00000000     -0.101875603      0.529999971    
   0.00000000       2.17540264E-02  0.539999962    
   0.00000000      0.137785614      0.550000012    
   0.00000000      0.244547129      0.560000002    
   0.00000000      0.340513289      0.569999993    
   0.00000000      0.424327970      0.579999983    
   0.00000000      0.494826913      0.589999974    
   0.00000000      0.551056743      0.599999964    
   0.00000000      0.592287302      0.610000014    
   0.00000000      0.618026733      0.620000005    
   0.00000000      0.628026724      0.629999995    
   0.00000000      0.622287154      0.639999986    
   0.00000000      0.601056635      0.649999976    
   0.00000000      0.564826846      0.659999967    
   0.00000000      0.514327645      0.669999957    
   0.00000000      0.450512826      0.680000007    
   0.00000000      0.374546587      0.689999998    
   0.00000000      0.287785411      0.699999988    
   0.00000000      0.191753805      0.709999979    
   0.00000000       8.81238282E-02  0.719999969    
   0.00000000      -2.13109404E-02  0.729999959    
   0.00000000     -0.134666726      0.740000010    
   0.00000000     -0.250000030      0.750000000    
   0.00000000     -0.365333319      0.759999990    
   0.00000000     -0.478690028      0.769999981    
   0.00000000     -0.588124752      0.779999971    
   0.00000000     -0.691753864      0.789999962    
   0.00000000     -0.787785470      0.799999952    
   0.00000000     -0.874547362      0.810000002    
   0.00000000     -0.950513482      0.819999993    
   0.00000000      -1.01432824      0.829999983    
   0.00000000      -1.06482697      0.839999974    
   0.00000000      -1.10105658      0.849999964    
   0.00000000      -1.12228727      0.859999955    
   0.00000000      -1.12802672      0.870000005    
   0.00000000      -1.11802673      0.879999995    
   0.00000000      -1.09228730      0.889999986    
   0.00000000      -1.05105662      0.899999976    
   0.00000000     -0.994826674      0.909999967    
   0.00000000     -0.924327433      0.919999957    
   0.00000000     -0.840513229      0.930000007    
   0.00000000     -0.744547069      0.939999998    
   0.00000000     -0.637785196      0.949999988    
   0.00000000     -0.521753550      0.959999979    
   0.00000000     -0.398123443      0.969999969    
   0.00000000     -0.268689632      0.979999959    
   0.00000000     -0.135332927      0.989999950    
   0.00000000       0.00000000       1.00000000    

