     TIME           U            X
   0.00000000       1.00000000      -2.00000405E-02
   0.00000000       1.00000000      -1.00000501E-02
   0.00000000       1.00000000       0.00000000    
   0.00000000       0.00000000       9.99999046E-03
   0.00000000       0.00000000       1.99999809E-02
   0.00000000       0.00000000       2.99999714E-02
   0.00000000       0.00000000       3.99999619E-02
   0.00000000       0.00000000       4.99999523E-02
   0.00000000       0.00000000       5.99999428E-02
   0.00000000       0.00000000       6.99999332E-02
   0.00000000       0.00000000       7.99999237E-02
   0.00000000       0.00000000       9.00000334E-02
   0.00000000       0.00000000      0.100000024    
   0.00000000       0.00000000      0.110000014    
   0.00000000       0.00000000      0.120000005    
   0.00000000       0.00000000      0.129999995    
   0.00000000       0.00000000      0.139999986    
   0.00000000       0.00000000      0.149999976    
   0.00000000       0.00000000      0.159999967    
   0.00000000       0.00000000      0.169999957    
   0.00000000       0.00000000      0.179999948    
   0.00000000       0.00000000      0.189999938    
   0.00000000       0.00000000      0.199999928    
   0.00000000       0.00000000      0.209999919    
   0.00000000       0.00000000      0.220000029    
   0.00000000       0.00000000      0.230000019    
   0.00000000       0.00000000      0.240000010    
   0.00000000       0.00000000      0.250000000    
   0.00000000       0.00000000      0.259999990    
   0.00000000       0.00000000      0.269999981    
   0.00000000       0.00000000      0.279999971    
   0.00000000       0.00000000      0.289999962    
   0.00000000       0.00000000      0.299999952    
   0.00000000       0.00000000      0.309999943    
   0.00000000       0.00000000      0.319999933    
   0.00000000       0.00000000      0.329999924    
   0.00000000       0.00000000      0.339999914    
   0.00000000       0.00000000      0.350000024    
   0.00000000       0.00000000      0.360000014    
   0.00000000       0.00000000      0.370000005    
   0.00000000       0.00000000      0.379999995    
   0.00000000       0.00000000      0.389999986    
   0.00000000       0.00000000      0.399999976    
   0.00000000       0.00000000      0.409999967    
   0.00000000       0.00000000      0.419999957    
   0.00000000       0.00000000      0.429999948    
   0.00000000       0.00000000      0.439999938    
   0.00000000       0.00000000      0.449999928    
   0.00000000       0.00000000      0.459999919    
   0.00000000       0.00000000      0.469999909    
   0.00000000       0.00000000      0.480000019    
   0.00000000       0.00000000      0.490000010    
   0.00000000       0.00000000      0.500000000    
   0.00000000       0.00000000      0.509999990    
   0.00000000       0.00000000      0.519999981    
   0.00000000       0.00000000      0.529999971    
   0.00000000       0.00000000      0.539999962    
   0.00000000       0.00000000      0.549999952    
   0.00000000       0.00000000      0.559999943    
   0.00000000       0.00000000      0.569999933    
   0.00000000       0.00000000      0.579999924    
   0.00000000       0.00000000      0.589999914    
   0.00000000       0.00000000      0.599999905    
   0.00000000       0.00000000      0.610000014    
   0.00000000       0.00000000      0.620000005    
   0.00000000       0.00000000      0.629999995    
   0.00000000       0.00000000      0.639999986    
   0.00000000       0.00000000      0.649999976    
   0.00000000       0.00000000      0.659999967    
   0.00000000       0.00000000      0.669999957    
   0.00000000       0.00000000      0.679999948    
   0.00000000       0.00000000      0.689999938    
   0.00000000       0.00000000      0.699999928    
   0.00000000       0.00000000      0.709999919    
   0.00000000       0.00000000      0.719999909    
   0.00000000       0.00000000      0.730000019    
   0.00000000       0.00000000      0.740000010    
   0.00000000       0.00000000      0.750000000    
   0.00000000       0.00000000      0.759999990    
   0.00000000       0.00000000      0.769999981    
   0.00000000       0.00000000      0.779999971    
   0.00000000       0.00000000      0.789999962    
   0.00000000       0.00000000      0.799999952    
   0.00000000       0.00000000      0.809999943    
   0.00000000       0.00000000      0.819999933    
